ID,KEYID,KEYSTATUSID,STARTDATE,ENDDATE,OWNERID,PERSONRESPID,NOTE
18093,12964,3,00:00.0,00:00.0,1277015,0,
18094,4070,4,00:00.0,00:00.0,0,0,
18095,4071,3,00:00.0,00:00.0,1322885,0,
18096,4072,3,00:00.0,00:00.0,1194748,0,
18097,13069,1,00:00.0,00:00.0,0,0,
18098,11937,2,00:00.0,00:00.0,0,0,
18099,3814,3,00:00.0,00:00.0,1314676,0,
18100,3815,3,00:00.0,00:00.0,1293454,0,
18101,3822,3,00:00.0,00:00.0,1327377,0,
18102,3894,2,00:00.0,00:00.0,0,0,
18103,19713,2,00:00.0,00:00.0,0,0,
18104,10414,3,00:00.0,00:00.0,1293017,0,
18105,10415,3,00:00.0,00:00.0,1317765,0,
18106,10416,1,00:00.0,00:00.0,0,0,
18107,10417,1,00:00.0,00:00.0,0,0,
18108,20427,3,00:00.0,00:00.0,1310663,0,
18109,8991,1,00:00.0,00:00.0,0,0,
18110,13045,3,00:00.0,00:00.0,1313651,0,
18111,13041,2,00:00.0,00:00.0,0,0,
18112,13049,3,00:00.0,00:00.0,1304897,0,
18113,16954,1,00:00.0,00:00.0,0,0,
18114,4120,1,00:00.0,00:00.0,0,0,
18115,4126,1,00:00.0,00:00.0,0,0,
18116,4123,1,00:00.0,00:00.0,0,0,
18117,4127,1,00:00.0,00:00.0,0,0,
18118,4128,1,00:00.0,00:00.0,0,0,
18119,4129,1,00:00.0,00:00.0,0,0,
18120,4130,1,00:00.0,00:00.0,0,0,
18121,4124,1,00:00.0,00:00.0,0,0,
18122,11925,5,00:00.0,00:00.0,0,0,
18123,11926,3,00:00.0,00:00.0,1184030,0,
18124,11927,2,00:00.0,00:00.0,0,0,
18125,19746,3,00:00.0,00:00.0,1304896,0,
18126,19747,3,00:00.0,00:00.0,1248166,0,
18127,19748,3,00:00.0,00:00.0,1327377,0,
18128,4148,1,00:00.0,00:00.0,0,0,
18129,4152,3,00:00.0,00:00.0,1164827,0,
18130,8382,3,00:00.0,00:00.0,1124661,0,
18131,4170,3,00:00.0,00:00.0,1288129,0,
18132,4453,3,00:00.0,00:00.0,1277341,0,
18133,4173,3,00:00.0,00:00.0,1293574,0,
18134,4182,1,00:00.0,00:00.0,0,0,
18135,4181,3,00:00.0,00:00.0,1254486,0,
18136,16540,3,00:00.0,00:00.0,1313650,0,
18137,4194,3,00:00.0,00:00.0,1655322,0,
18138,4196,3,00:00.0,00:00.0,1299758,0,
18139,4197,1,00:00.0,00:00.0,0,0,
18140,391,1,00:00.0,00:00.0,0,0,
18141,393,3,00:00.0,00:00.0,1293471,0,
18142,395,4,00:00.0,00:00.0,0,0,
18143,396,2,00:00.0,00:00.0,0,0,
18144,4252,1,00:00.0,00:00.0,0,0,
18145,4253,1,00:00.0,00:00.0,0,0,
18146,4262,1,00:00.0,00:00.0,0,0,
18147,8399,3,00:00.0,00:00.0,1321904,0,
18148,8402,2,00:00.0,00:00.0,0,0,
18149,8403,2,00:00.0,00:00.0,0,0,
18150,8406,3,00:00.0,00:00.0,1272886,0,
18151,8407,3,00:00.0,00:00.0,1293573,0,
18152,8424,3,00:00.0,00:00.0,1303799,0,
18153,8426,3,00:00.0,00:00.0,1230363,0,
18154,8427,2,00:00.0,00:00.0,0,0,
18155,8430,3,00:00.0,00:00.0,1228759,0,
18156,8429,3,00:00.0,00:00.0,1317265,0,
18157,8431,3,00:00.0,00:00.0,1260238,0,
18158,8415,3,00:00.0,00:00.0,1266752,0,
18159,8436,3,00:00.0,00:00.0,1270866,0,
18160,16554,1,00:00.0,00:00.0,0,0,
18161,4036,1,00:00.0,00:00.0,0,0,
18162,4039,3,00:00.0,00:00.0,1151890,0,
18163,18662,3,00:00.0,00:00.0,1292851,0,
18164,16743,2,00:00.0,00:00.0,0,0,
18165,16740,3,00:00.0,00:00.0,1149002,0,
18166,16741,3,00:00.0,00:00.0,1146029,0,
18167,16742,1,00:00.0,00:00.0,0,0,
18168,4490,3,00:00.0,00:00.0,1302894,0,
18169,4491,3,00:00.0,00:00.0,1198371,0,
18170,4493,3,00:00.0,00:00.0,1274183,0,
18171,4596,3,00:00.0,00:00.0,1327377,0,
18172,4598,3,00:00.0,00:00.0,1304896,0,
18173,4597,4,00:00.0,00:00.0,0,0,
18174,4594,2,00:00.0,00:00.0,0,0,
18175,4595,2,00:00.0,00:00.0,0,0,
18176,4600,3,00:00.0,00:00.0,1292850,0,
18177,20220,3,00:00.0,00:00.0,1313651,0,
18178,17792,3,00:00.0,00:00.0,1215534,0,
18179,17793,3,00:00.0,00:00.0,1296610,0,
18180,17794,3,00:00.0,00:00.0,1293215,0,
18181,17795,3,00:00.0,00:00.0,1260223,0,
18182,4807,4,00:00.0,00:00.0,0,0,
18183,4804,4,00:00.0,00:00.0,0,0,
18184,4808,3,00:00.0,00:00.0,1249682,0,
18185,4812,3,00:00.0,00:00.0,1322269,0,
18186,4806,4,00:00.0,00:00.0,0,0,
18187,4811,3,00:00.0,00:00.0,1209012,0,
18188,4814,3,00:00.0,00:00.0,1292998,0,
18189,4819,3,00:00.0,00:00.0,1270290,0,
18190,3884,3,00:00.0,00:00.0,1260093,0,
18191,3892,3,00:00.0,00:00.0,1293004,0,
18192,3893,1,00:00.0,00:00.0,0,0,
18193,4842,3,00:00.0,00:00.0,1293496,0,
18194,1237,3,00:00.0,00:00.0,1273212,0,
18195,1235,1,00:00.0,00:00.0,0,0,
18196,10980,3,00:00.0,00:00.0,1293278,0,
18197,7996,1,00:00.0,00:00.0,0,0,
18198,4995,3,00:00.0,00:00.0,1258175,0,
18199,4888,1,00:00.0,00:00.0,0,0,
18200,19750,3,00:00.0,00:00.0,1405912,0,
